idade,salario,genero,cidade,anos_estudo
25,3000,F,SP,12
30,4500,M,RJ,15
35,6000,F,SP,16
40,7500,M,MG,14
45,9000,F,RJ,18
50,11000,M,SP,17
28,3500,F,BA,13
33,5200,M,RJ,14
38,6800,F,SP,16
43,8300,M,MG,15
48,10000,F,RJ,18
53,12000,M,SP,20
27,3200,F,BA,12
32,4900,M,RJ,15
37,6500,F,SP,16
42,8100,M,MG,15
47,9700,F,RJ,17
52,11800,M,SP,19
29,3700,F,BA,13
34,5400,M,RJ,14
39,7000,F,SP,16
44,8600,M,MG,16
49,10300,F,RJ,18
55,13500,M,SP,20
26,2900,F,BA,11
31,4700,M,RJ,14
36,6200,F,SP,15
41,7800,M,MG,15
46,9400,F,RJ,17
51,11200,M,SP,18
